N,aimed_PNbig,Nbig,Nsmall,NA,aimed_PAbig,NAbig,NAsmall,NBbig,NBsmall,PA,PAbig,PNbig,PABbig,PABsmall,diff_PAB_bigsmall,congruent,cong_tr_ix,side_cloud1,trial_family,total_elem,total_shapeA,total_shapeB,prop_shapeA_total,elem1,shapeA1,shapeB1,elem2,shapeA2,shapeB2,prop_elem_L_R,prop_shapeA_L_R,trial_ix,stimulus_type,resp_type,block_type,left_opt_best,best_opt,left_best,best_resp,trial_nb,block_nb,block_length,elem_look_at,resp_modality,switch_family,switch_type,same_resp_as_previous,transition_trials,transition_stimulus,transition_response,allow_break
75,0.54,41,34,32,0.52,17,15,24,19,0.426666666666667,0.53125,0.546666666666667,0.708333333333333,0.789473684210526,-0.081140350877193,1,21,2,77,75,32,43,0.426666666666667,34,15,19,41,17,24,0.453333333333333,0.46875,77,1,1,1,0,2,0,2,37,5,7,0,0,0,0,1,0,0,0,0
85,0.54,46,39,46,0.54,25,21,21,18,0.541176470588235,0.543478260869565,0.541176470588235,1.19047619047619,1.16666666666667,0.0238095238095237,1,47,1,103,85,46,39,0.541176470588235,46,25,21,39,21,18,0.541176470588235,0.543478260869565,103,1,1,1,1,1,1,1,38,5,7,0,0,0,0,0,0,0,0,0
75,0.52,39,36,42,0.46,19,23,20,13,0.56,0.452380952380952,0.52,0.95,1.76923076923077,-0.819230769230769,0,18,2,18,75,42,33,0.56,36,23,13,39,19,20,0.48,0.547619047619048,18,1,1,1,0,2,0,2,39,5,7,0,0,0,0,0,0,0,0,0
75,0.56,43,32,28,0.44,12,16,31,16,0.373333333333333,0.428571428571429,0.573333333333333,0.387096774193548,1,-0.612903225806452,0,29,2,29,75,28,47,0.373333333333333,32,16,16,43,12,31,0.426666666666667,0.571428571428571,29,1,1,1,0,2,0,2,40,5,7,0,0,0,0,1,0,0,0,0
85,0.52,45,40,48,0.46,22,26,23,14,0.564705882352941,0.458333333333333,0.529411764705882,0.956521739130435,1.85714285714286,-0.900621118012422,0,39,1,39,85,48,37,0.564705882352941,45,22,23,40,26,14,0.529411764705882,0.458333333333333,151,1,2,3,1,1,0,2,41,6,7,0,1,2,3,1,1,0,1,0
75,0.56,43,32,40,0.52,21,19,22,13,0.533333333333333,0.525,0.573333333333333,0.954545454545455,1.46153846153846,-0.506993006993007,1,30,2,86,75,40,35,0.533333333333333,32,19,13,43,21,22,0.426666666666667,0.475,198,1,2,3,0,2,1,1,42,6,7,0,1,0,0,0,0,0,0,0
65,0.52,34,31,30,0.48,14,16,20,15,0.461538461538462,0.466666666666667,0.523076923076923,0.7,1.06666666666667,-0.366666666666667,0,1,2,1,65,30,35,0.461538461538462,31,16,15,34,14,20,0.476923076923077,0.533333333333333,113,1,2,3,0,2,1,1,43,6,7,0,1,0,0,1,0,0,0,0
65,0.52,34,31,35,0.44,15,20,19,11,0.538461538461538,0.428571428571429,0.523076923076923,0.789473684210526,1.81818181818182,-1.02870813397129,0,6,1,6,65,35,30,0.538461538461538,34,15,19,31,20,11,0.523076923076923,0.428571428571429,118,1,2,3,1,1,0,2,44,6,7,0,1,0,0,0,0,0,0,0
85,0.56,48,37,36,0.52,19,17,29,20,0.423529411764706,0.527777777777778,0.564705882352941,0.655172413793103,0.85,-0.194827586206897,1,51,2,107,85,36,49,0.423529411764706,37,17,20,48,19,29,0.435294117647059,0.472222222222222,219,1,2,3,0,2,1,1,45,6,7,0,1,0,0,0,0,0,0,0
75,0.52,39,36,34,0.48,16,18,23,18,0.453333333333333,0.470588235294118,0.52,0.695652173913043,1,-0.304347826086957,0,14,2,14,75,34,41,0.453333333333333,36,18,18,39,16,23,0.48,0.529411764705882,126,1,2,3,0,2,1,1,46,6,7,0,1,0,0,1,0,0,0,0
